equation_id,source_paragraph_id,original_text,normalized_latex,symbols,declared_units,dimensional_check,status,rationale
UMCH-EQ-0011,UMCH-SRC-P0021,La carica vincolata alla traiettoria con curvatura κ0​ e torsione τ1​ eccita il vuoto quantistico generante uno stato coerente di Glauber per il campo EM ∣ΨEM​⟩=D^[α]∣0⟩ e per il campo di gravitoni ∣Ψgrav​⟩=D^[β]∣0G​⟩.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0012,UMCH-SRC-P0024,"α(k,λ)=ℏ2ωk​ϵ0​​iq​ϵμ(λ)∗​∫dτUμ(τ)eik⋅x(τ)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0013,UMCH-SRC-P0025,"β(k,σ)=2ℏ2ωk​​i16πG​m0​c​ϵμν(σ)∗​∫dτUμ(τ)Uν(τ)eik⋅x(τ)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0014,UMCH-SRC-P0026,L'espansione della fase k⋅x(τ) contiene un termine cubico 61​c2κ0​τ1​(k⋅B0​)τ3 che converge in integrali di tipo Airy. I quanti emessi trasportano Momento Angolare Orbitale (OAM) quantizzato:,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0015,UMCH-SRC-P0027,"Lz(EM)​=ℏℓ,Jz(grav)​=(ℓ±2)ℏ,con ℓ≈⌊τ1​R⌋",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0016,UMCH-SRC-P0029,L'emissione continua dello stato coerente di gravitoni provoca la perdita di coerenza della matrice di densità ridotta della particella ρAB​(τ)=ρAB​(0)e−Γκ0​​τ.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0017,UMCH-SRC-P0030,"Γκ0​​≈ℏGm02​c3κ02​​(λeff​∣Δx∣​)2f(κ0​,τ1​)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0018,UMCH-SRC-P0033,"Modello DP: ΓDP​=ℏEG​​, dove EG​ è l'energia di sovrapposizione gravitazionale statica Newtoniana. Richiede un cut-off ad hoc R0​ per evitare divergenze ultraviolette e prevede un riscaldamento stocastico isotropo.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0019,UMCH-SRC-P0034,"Modello κ0​: La decoerenza è un effetto dinamicamente aperto e relativistico indotto dall'accelerazione propria minima. È intrinsecamente privo di divergenze UV grazie alla scala di cutoff naturale 1/κ0​, ed è modulabile cinematicamente tramite l'accelerazione della trappola/sistema.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0020,UMCH-SRC-P0036,Il rapporto tra la potenza irradiata in fotoni e gravitoni per una particella con carica q e massa m0​ a velocità v=βc è:,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0021,UMCH-SRC-P0037,R=Pgrav​PEM​​=12πϵ0​Gβ2c45​(m0​q​)2,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0022,UMCH-SRC-P0040,"Limite Cinematico: Poiché β→1 per un osservatore locale stazionario (FIDO), il rapporto locale converge a Rorizzonte​=12πϵ0​Gc45​(q/m0​)2.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0023,UMCH-SRC-P0041,Conversione di Modo (Gertsenshtein): L'intenso campo elettrico E(r)=Q/(4πϵ0​r2) induce una conversione risonante tra perturbazioni di spin-1 e spin-2.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0024,UMCH-SRC-P0042,"Fattori di Corpo Grigio: Per un osservatore all'infinito r→∞, la trasmissione della barriera di potenziale sopprime maggiormente i modi gravitazionali (s=2) rispetto a quelli elettromagnetici (s=1), amplificando il rapporto misurato R∞​>Rorizzonte​.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0025,UMCH-SRC-P0044,"L'introduzione del vincolo κ≥κ0​>0 fornisce una struttura teorica coerente che risolve il problema delle divergenze nell'equazione ALD, predice la generazione spontanea di stati coerenti di vortici di fotoni/gravitoni e offre un meccanismo di decoerenza gravitazionale cinematicamente testabile via optomeccanica.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0026,UMCH-SRC-P0049,"The classical principle of inertia assumes that in the absence of forces, a body persists in a state of uniform rectilinear motion, corresponding to the vanishing of the four-acceleration Aμ=0. In this work, we postulate that the worldline of any physical entity possessing energy-momentum is subject to an unavoidable minimum geodesic curvature κ0​>0.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0027,UMCH-SRC-P0050,"In the 4D Frenet-Serret frame, the four-velocity Uμ and four-acceleration Aμ satisfy the constraint:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0028,UMCH-SRC-P0051,"dτDUμ​=Aμ=c2κ(τ)Nμ,κ(τ)≥κ0​>0","D U^\mu/d\tau=A^\mu=c^2\kappa N^\mu,\quad \kappa\ge\kappa_0>0",U^μ;A^μ;τ;κ;κ₀;N^μ;c,[A]=LT^-2;[κ]=[κ₀]=L^-1,PASS_WITH_HYPOTHESIS_SEPARATION,CORRECTABLE,English duplicate; identity and hypothesis must be separated.
UMCH-EQ-0029,UMCH-SRC-P0052,"where Nμ is the unit normal four-vector (NμNμ​=1) and UμUμ​=−c2. Since Uμ​Nμ=0, the energy-momentum norm PμPμ​=−m02​c2 remains strictly invariant.","N^\mu N_\mu=1,\ U^\mu U_\mu=-c^2,\ P^\mu P_\mu=-m_0^2c^2",N^μ;U^μ;P^μ;m₀;c,[P²]=M²L²T^-2,PASS_WITH_CONSTANT_MASS_ASSUMPTION,SUPPORTED_WITH_CONDITIONS,English duplicate with same assumptions.
UMCH-EQ-0030,UMCH-SRC-P0055,m0​Aμ=Fextμ​+τ0​m0​(dτDAμ​−c2Aα​Aα​Uμ),,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0031,UMCH-SRC-P0056,"where τ0​=6πϵ0​m0​c3q2​. Using the 4D Frenet-Serret relations to expand dτDAμ​=c2κ˙Nμ+c2κ2Uμ+c2κτ1​Bμ (where Bμ is the binormal four-vector and τ1​ is the geodesic torsion), the radiation self-force reduces to:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0032,UMCH-SRC-P0057,Fradμ​=τ0​m0​c2(κ˙Nμ+κτ1​Bμ),,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0033,UMCH-SRC-P0058,"Imposing the constant curvature constraint κ(τ)=κ0​, we obtain the regularized equation:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0034,UMCH-SRC-P0059,m0​c2κ0​Nμ=Fextμ​+τ0​m0​c2κ0​τ1​Bμ,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0035,UMCH-SRC-P0060,The self-force acts exclusively along the binormal Bμ. This analytically suppresses unstable runaway solutions without violating orthogonality Uμ​Fradμ​=0.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0036,UMCH-SRC-P0062,"A charge constrained to a trajectory with curvature κ0​ and torsion τ1​ excites the quantum vacuum, generating a Glauber coherent state for the EM field ∣ΨEM​⟩=D^[α]∣0⟩ and the graviton field ∣Ψgrav​⟩=D^[β]∣0G​⟩.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0037,UMCH-SRC-P0065,"α(k,λ)=ℏ2ωk​ϵ0​​iq​ϵμ(λ)∗​∫dτUμ(τ)eik⋅x(τ)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0038,UMCH-SRC-P0066,"β(k,σ)=2ℏ2ωk​​i16πG​m0​c​ϵμν(σ)∗​∫dτUμ(τ)Uν(τ)eik⋅x(τ)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0039,UMCH-SRC-P0067,The expansion of the phase k⋅x(τ) contains a cubic term 61​c2κ0​τ1​(k⋅B0​)τ3 which converges into Airy-type integrals. The emitted quanta carry quantized Orbital Angular Momentum (OAM):,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0040,UMCH-SRC-P0068,"Lz(EM)​=ℏℓ,Jz(grav)​=(ℓ±2)ℏ,with ℓ≈⌊τ1​R⌋",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0041,UMCH-SRC-P0070,Continuous emission of the coherent graviton state induces a loss of coherence in the particle's reduced density matrix ρAB​(τ)=ρAB​(0)e−Γκ0​​τ.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0042,UMCH-SRC-P0071,"Γκ0​​≈ℏGm02​c3κ02​​(λeff​∣Δx∣​)2f(κ0​,τ1​)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0043,UMCH-SRC-P0074,"DP Model: ΓDP​=ℏEG​​, where EG​ is the static Newtonian gravitational superposition energy. Requires an ad hoc cut-off R0​ to prevent ultraviolet divergences and predicts isotropic stochastic heating.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0044,UMCH-SRC-P0075,"κ0​ Model: Decoherence is a dynamically open, relativistic effect driven by the minimum proper acceleration. It is inherently free of UV divergences due to the natural cutoff scale 1/κ0​, and can be kinematically modulated by adjusting the trap/system acceleration.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0045,UMCH-SRC-P0077,The ratio between emitted electromagnetic and gravitational power for a particle with charge q and mass m0​ moving at velocity v=βc is:,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0046,UMCH-SRC-P0078,R=Pgrav​PEM​​=12πϵ0​Gβ2c45​(m0​q​)2,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0047,UMCH-SRC-P0081,"Kinematic Limit: As β→1 for a local stationary observer (FIDO), the local ratio converges to Rhorizon​=12πϵ0​Gc45​(q/m0​)2.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0048,UMCH-SRC-P0082,Mode Conversion (Gertsenshtein Effect): The strong background electric field E(r)=Q/(4πϵ0​r2) induces resonant conversion between spin-1 and spin-2 perturbations.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0049,UMCH-SRC-P0083,"Greybody Factors: For an observer at infinity r→∞, potential barrier transmission suppresses gravitational modes (s=2) more strongly than electromagnetic ones (s=1), increasing the measured ratio R∞​>Rhorizon​.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0050,UMCH-SRC-P0085,"Introducing the constraint κ≥κ0​>0 yields a consistent theoretical framework that resolves divergence issues in the ALD equation, predicts the spontaneous generation of photon/graviton vortex coherent states, and provides a gravitationally induced decoherence mechanism that is kinematically testable via optomechanics.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0051,UMCH-SRC-P0092,"Assumiamo che nello spaziotempo quadridimensionale dotato di metrica gμν​ con segnatura (−,+,+,+), la linea d'universo xμ(τ) di una particella carica di massa m0​ e carica q soddisfi le equazioni cinematiche nel tetrade di Frenet-Serret 4D:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0052,UMCH-SRC-P0093,"dτDUμ​=Aμ=c2κ(τ)Nμ,con κ(τ)≥κ0​>0","D U^\mu/d\tau=A^\mu=c^2\kappa N^\mu,\quad \kappa\ge\kappa_0>0",U^μ;A^μ;τ;κ;κ₀;N^μ;c,[A]=LT^-2;[κ]=[κ₀]=L^-1,PASS_WITH_HYPOTHESIS_SEPARATION,UNPROVEN,Lower bound remains unproved and is in tension with geodesic motion.
UMCH-EQ-0053,UMCH-SRC-P0094,"dove Uμ=dτdxμ​ è la quadri-velocità (UμUμ​=−c2), Nμ è il quadri-vettore normale unitario (NμNμ​=1), e κ(τ) rappresenta la curvatura geodetica propria.","U^\mu=dx^\mu/d\tau,\ U^\mu U_\mu=-c^2,\ N^\mu N_\mu=1",x^μ;τ;U^μ;N^μ;c,[U]=LT^-1,PASS_WITH_REGULARITY_CONDITIONS,CORRECTABLE,Terminology should use timelike worldline curvature and state N is undefined at κ=0 without continuation.
UMCH-EQ-0054,UMCH-SRC-P0096,"Nel formalismo di Kaluza-Klein esteso, lo spaziotempo a 5 dimensioni possiede un tensore metrico g^​AB​ (A,B=0,1,2,3,5):",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0055,UMCH-SRC-P0097,g^​AB​dxAdxB=gμν​dxμdxν+ϕ2(dx5+kAμ​dxμ)2,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0056,UMCH-SRC-P0098,ponendo lo scalare dilatonico ϕ=1 e la costante di accoppiamento k=c416πGϵ0​​​=m0​c22q​.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0057,UMCH-SRC-P0100,dτ^2d2xA​+Γ^BCA​dτ^dxB​dτ^dxC​=0,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0058,UMCH-SRC-P0101,"Proiettando le prime quattro componenti (A=μ) sullo spaziotempo 4D, si ottiene:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0059,UMCH-SRC-P0102,dτDUμ​=m0​q​Fμνuν​,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0060,UMCH-SRC-P0103,Applicando la norma della quadri-accelerazione sotto il vincolo κ≥κ0​:,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0061,UMCH-SRC-P0104,κ2=c4gμα​AμAα​=(m0​c2q​)2gμα​FμνFαβUν​Uβ​≥κ02​>0,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0062,UMCH-SRC-P0105,Risultato: Il tensore di campo elettromagnetico Fμν​ e il tensore di curvatura di Riemann Rαβμν​ non sono entità disgiunte: Fμν​ costituisce la manifestazione geometrica necessaria affinché la linea d'universo mantenga la curvatura cinematica minima κ0​.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0063,UMCH-SRC-P0109,m0​Aμ=Fextμ​+τ0​m0​(dτDAμ​−c2Aα​Aα​Uμ),,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0064,UMCH-SRC-P0110,con τ0​=6πϵ0​m0​c3q2​. Sviluppando la derivata della quadri-accelerazione tramite le relazioni di Frenet-Serret 4D:,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0065,UMCH-SRC-P0111,dτDAμ​=c2κ˙Nμ+c2κ2Uμ+c2κτ1​Bμ,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0066,UMCH-SRC-P0112,"dove Bμ è il quadri-vettore binormale unitario e τ1​ è la torsione geodetica. Sostituendo tale sviluppo nell'equazione ALD, il termine proporzionale a Uμ (c2κ2Uμ) cancella esattamente il termine di Schottky −c2Aα​Aα​Uμ=−c2κ2Uμ:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0067,UMCH-SRC-P0113,Fradμ​=τ0​m0​c2(κ˙Nμ+κτ1​Bμ),,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0068,UMCH-SRC-P0114,"Sotto la condizione di curvatura minima costante κ(τ)=κ0​⟹κ˙=0, l'equazione del moto diviene:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0069,UMCH-SRC-P0115,m0​c2κ0​Nμ=Fextμ​+τ0​m0​c2κ0​τ1​Bμ,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0070,UMCH-SRC-P0116,"Poiché l'auto-forza agisce esclusivamente lungo la direzione binormale Bμ, le componenti lungo la normale Nμ non contengono derivate temporali di ordine superiore a due, eliminando analiticamente le soluzioni esponenziali divergenti (runaway solutions).",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0071,UMCH-SRC-P0118,"In presenza di curvatura gravitazionale di fondo Rαβμν​=0, la propagation della radiazione elettromagnetica avviene lungo il cono di luce e all'interno di esso (a causa della dispersione sulla curvatura). L'equazione del moto si generalizza nell'equazione di DeWitt-Brehme:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0072,UMCH-SRC-P0119,"m0​Aμ=qFextμν​Uν​+32​c3q2​m0​(dτDAμ​−c2κ02​Uμ)+q2Uν​∫−∞τ​∇[μGα′ν]​(x(τ),x′(τ′))Uα′dτ′",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0073,UMCH-SRC-P0120,"dove Gα′ν​(x,x′) è il tensore di Green ritardato del campo elettromagnetico nello spaziotempo curvo. L'accoppiamento tra carica e gravitazione si manifesta nel termine di coda (tail term), il quale dimostra che la radiazione emessa dalla particella vincolata a κ0​ interagisce con la curvatura locale di Riemann lungo tutta la sua storia passata.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0074,UMCH-SRC-P0124,An​=gn−2i∑​Di​ci​ni​​,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0075,UMCH-SRC-P0125,"dove ci​ sono i fattori di colore, Di​ sono i propagatori quadratici dei canali kinematici, e ni​ sono i fattori cinematici dipendenti dalle polarizzazioni ϵμ​ e dai quadri-momenti kμ​.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0076,UMCH-SRC-P0127,Mn​=(2κgrav​​)n−2i∑​Di​ni2​​,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0077,UMCH-SRC-P0128,"Poiché il moto della sorgente ammette un vincolo cinematico inferiore κ0​, i numeratori cinematici ni​ contengono contrazioni del tipo (k⋅A)=c2κ0​(k⋅N)=0. Di conseguenza:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0078,UMCH-SRC-P0129,ni​(κ0​)=0⟹Mn​∝[An​]2,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0079,UMCH-SRC-P0130,"Ogni processo di emissione o scattering di fotoni di norma κ0​ mappa direttamente in un processo di emissione di gravitoni, confermando la dualità quantistica (Gravitaˋ)∼(Gauge)2.",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0080,UMCH-SRC-P0133,"Una carica vincolata a una traiettoria elicitale con curvatura κ0​ e torsione τ1​ genera una corrente quantizzata che eccita lo stato di vuoto dei campi, producendo uno stato coerente di Glauber:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0081,UMCH-SRC-P0134,"∣ΨEM​⟩=D^[α]∣0⟩,∣Ψgrav​⟩=D^[β]∣0G​⟩",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0082,UMCH-SRC-P0135,"Le ampiezze di coerenza α(k,λ) per fotoni di polarizzazione λ e β(k,σ) per gravitoni di elicità σ=±2 sono:",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0083,UMCH-SRC-P0136,"α(k,λ)=ℏ2ωk​ϵ0​​iq​ϵμ(λ)∗​∫−∞∞​dτUμ(τ)eik⋅x(τ)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0084,UMCH-SRC-P0137,"β(k,σ)=2ℏ2ωk​​i16πG​m0​c​ϵμν(σ)∗​∫−∞∞​dτUμ(τ)Uν(τ)eik⋅x(τ)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0085,UMCH-SRC-P0138,Espandendo la fase k⋅x(τ) attorno a τ=0 nel tetrade di Frenet-Serret:,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0086,UMCH-SRC-P0139,xμ(τ)=x0μ​+U0μ​τ+21​c2κ0​N0μ​τ2+61​c2κ0​τ1​B0μ​τ3+O(τ4),,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0087,UMCH-SRC-P0141,"Lz(EM)​=ℏℓ,Jz(grav)​=(ℓ±2)ℏ,con ℓ≈⌊τ1​R⌋",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0088,UMCH-SRC-P0143,L'emissione continua di gravitoni incoerenti legati alla curvatura κ0​ distrugge la sovrapposizione quantistica di uno stato spaziale ∣ψ⟩=2​1​(∣xA​⟩+∣xB​⟩). Il tasso di decoerenza Γκ0​​ è dato da:,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0089,UMCH-SRC-P0144,"Γκ0​​=ℏGm02​c3κ02​​(λeff​∣Δx∣​)2f(κ0​,τ1​)",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0090,UMCH-SRC-P0147,Calcoliamo la potenza totale emessa da una carica q di massa m0​ in moto con velocità v=βc e accelerazione propria a=c2κ0​.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0091,UMCH-SRC-P0148,"Potenza Elettromagnetica (Larmor Relativistica):
PEM​=6πϵ0​q2cκ02​​",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0092,UMCH-SRC-P0149,"Potenza Gravitazionale (Einstein-Larmor Quadrupolare):
Pgrav​=52Gm02​c5κ02​β2​",,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0093,UMCH-SRC-P0151,R=Pgrav​PEM​​=52Gm02​c5κ02​β2​6πϵ0​q2cκ02​​​=12πϵ0​Gβ2c45​(m0​q​)2=3β2c25​(FG​FE​​),,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
UMCH-EQ-0094,UMCH-SRC-P0152,Il parametro κ02​ si semplifica perfettamente: il rapporto R è un'invariante strutturale del sistema materia-campo.,,,,NOT_CHECKED,UNREVIEWED,Automatically detected formula candidate; requires human mathematical review.
