claim_id,source_paragraph_id,original_text,normalized_it,translation_en,sector,claim_type,prerequisites,equation_ids,reference_ids,dimensional_check,evidence_level,status,reviewer,decision,rationale
UMCH-CLM-0014,UMCH-SRC-P0014,m0​Aμ=Fextμ​+τ0​m0​(dτDAμ​−c2Aα​Aα​Uμ),,,unclassified,CONJECTURE,,UMCH-EQ-0005,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0015,UMCH-SRC-P0015,"con τ0​=6πϵ0​m0​c3q2​. Utilizzando le equazioni di Frenet-Serret 4D per sviluppare dτDAμ​=c2κ˙Nμ+c2κ2Uμ+c2κτ1​Bμ (dove Bμ è il quadri-vettore binormale e τ1​ è la torsione geodetica), la quadri-forza di reazione si riduce a:",,,geometry,CONJECTURE,,UMCH-EQ-0006,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0016,UMCH-SRC-P0016,Fradμ​=τ0​m0​c2(κ˙Nμ+κτ1​Bμ),,,geometry,CONJECTURE,,UMCH-EQ-0007,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0017,UMCH-SRC-P0017,"Imponendo il vincolo di curvatura costante κ(τ)=κ0​, si ottiene l'equazione regolarizzata:",,,geometry,CONJECTURE,,UMCH-EQ-0008,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0018,UMCH-SRC-P0018,m0​c2κ0​Nμ=Fextμ​+τ0​m0​c2κ0​τ1​Bμ,,,geometry,CONJECTURE,,UMCH-EQ-0009,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0019,UMCH-SRC-P0019,L'auto-forza agisce esclusivamente lungo la binormale Bμ. Questo sopprime analiticamente le soluzioni instabili runaway senza violare l'ortogonalità Uμ​Fradμ​=0.,,,radiation-reaction,CONJECTURE,,UMCH-EQ-0010,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0020,UMCH-SRC-P0020,3. Quantizzazione dei Campi e Stati Coerenti con Torsione,,,quantum-fields,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0021,UMCH-SRC-P0021,La carica vincolata alla traiettoria con curvatura κ0​ e torsione τ1​ eccita il vuoto quantistico generante uno stato coerente di Glauber per il campo EM ∣ΨEM​⟩=D^[α]∣0⟩ e per il campo di gravitoni ∣Ψgrav​⟩=D^[β]∣0G​⟩.,,,gravitation,CONJECTURE,,UMCH-EQ-0011,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0022,UMCH-SRC-P0022,3.1 Stati Coerenti di Fotoni e Gravitoni,,,gravitation,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0023,UMCH-SRC-P0023,"Le ampiezze di coerenza α(k,λ) e β(k,σ) per spin-1 e spin-2 assumono la forma:",,,unclassified,ASSUMPTION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0024,UMCH-SRC-P0024,"α(k,λ)=ℏ2ωk​ϵ0​​iq​ϵμ(λ)∗​∫dτUμ(τ)eik⋅x(τ)",,,unclassified,CONJECTURE,,UMCH-EQ-0012,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0025,UMCH-SRC-P0025,"β(k,σ)=2ℏ2ωk​​i16πG​m0​c​ϵμν(σ)∗​∫dτUμ(τ)Uν(τ)eik⋅x(τ)",,,unclassified,CONJECTURE,,UMCH-EQ-0013,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0026,UMCH-SRC-P0026,L'espansione della fase k⋅x(τ) contiene un termine cubico 61​c2κ0​τ1​(k⋅B0​)τ3 che converge in integrali di tipo Airy. I quanti emessi trasportano Momento Angolare Orbitale (OAM) quantizzato:,,,quantum-fields,CONJECTURE,,UMCH-EQ-0014,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0027,UMCH-SRC-P0027,"Lz(EM)​=ℏℓ,Jz(grav)​=(ℓ±2)ℏ,con ℓ≈⌊τ1​R⌋",,,unclassified,CONJECTURE,,UMCH-EQ-0015,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0028,UMCH-SRC-P0028,4. Decoerenza Gravitazionale Intrinseca vs. Diósi-Penrose,,,gravitation,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0029,UMCH-SRC-P0029,L'emissione continua dello stato coerente di gravitoni provoca la perdita di coerenza della matrice di densità ridotta della particella ρAB​(τ)=ρAB​(0)e−Γκ0​​τ.,,,gravitation,CONJECTURE,,UMCH-EQ-0016,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0030,UMCH-SRC-P0030,"Γκ0​​≈ℏGm02​c3κ02​​(λeff​∣Δx∣​)2f(κ0​,τ1​)",,,geometry,CONJECTURE,,UMCH-EQ-0017,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0031,UMCH-SRC-P0031,Confronto con il Modello Diósi-Penrose (DP),,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0032,UMCH-SRC-P0032,Differenze chiave tra i due modelli:,,,unclassified,CONJECTURE,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0033,UMCH-SRC-P0033,"Modello DP: ΓDP​=ℏEG​​, dove EG​ è l'energia di sovrapposizione gravitazionale statica Newtoniana. Richiede un cut-off ad hoc R0​ per evitare divergenze ultraviolette e prevede un riscaldamento stocastico isotropo.",,,gravitation,CONJECTURE,,UMCH-EQ-0018,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0034,UMCH-SRC-P0034,"Modello κ0​: La decoerenza è un effetto dinamicamente aperto e relativistico indotto dall'accelerazione propria minima. È intrinsecamente privo di divergenze UV grazie alla scala di cutoff naturale 1/κ0​, ed è modulabile cinematicamente tramite l'accelerazione della trappola/sistema.",,,geometry,CONJECTURE,,UMCH-EQ-0019,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0035,UMCH-SRC-P0035,5. Rapporto di Accoppiamento R=PEM​/Pgrav​ ed Effetti di Orizzonte,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0036,UMCH-SRC-P0036,Il rapporto tra la potenza irradiata in fotoni e gravitoni per una particella con carica q e massa m0​ a velocità v=βc è:,,,gravitation,CONJECTURE,,UMCH-EQ-0020,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0037,UMCH-SRC-P0037,R=Pgrav​PEM​​=12πϵ0​Gβ2c45​(m0​q​)2,,,unclassified,CONJECTURE,,UMCH-EQ-0021,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0038,UMCH-SRC-P0038,Prossimità dell'Orizzonte di Reissner-Nordström,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0039,UMCH-SRC-P0039,"In prossimità dell'orizzonte degli eventi r+​, dove il fattore metrico f(r)→0:",,,unclassified,CONJECTURE,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0040,UMCH-SRC-P0040,"Limite Cinematico: Poiché β→1 per un osservatore locale stazionario (FIDO), il rapporto locale converge a Rorizzonte​=12πϵ0​Gc45​(q/m0​)2.",,,unclassified,CONJECTURE,,UMCH-EQ-0022,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0041,UMCH-SRC-P0041,Conversione di Modo (Gertsenshtein): L'intenso campo elettrico E(r)=Q/(4πϵ0​r2) induce una conversione risonante tra perturbazioni di spin-1 e spin-2.,,,unclassified,CONJECTURE,,UMCH-EQ-0023,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0042,UMCH-SRC-P0042,"Fattori di Corpo Grigio: Per un osservatore all'infinito r→∞, la trasmissione della barriera di potenziale sopprime maggiormente i modi gravitazionali (s=2) rispetto a quelli elettromagnetici (s=1), amplificando il rapporto misurato R∞​>Rorizzonte​.",,,gravitation,CONJECTURE,,UMCH-EQ-0024,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0043,UMCH-SRC-P0043,6. Conclusioni,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0044,UMCH-SRC-P0044,"L'introduzione del vincolo κ≥κ0​>0 fornisce una struttura teorica coerente che risolve il problema delle divergenze nell'equazione ALD, predice la generazione spontanea di stati coerenti di vortici di fotoni/gravitoni e offre un meccanismo di decoerenza gravitazionale cinematicamente testabile via optomeccanica.",,,gravitation,CONJECTURE,,UMCH-EQ-0025,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0045,UMCH-SRC-P0045,Electrodynamics and Gravity in Spacetimes with Unavoidable Minimum Geodesic Curvature: A Unified Theoretical Framework,,,gravitation,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0046,UMCH-SRC-P0046,Abstract,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0047,UMCH-SRC-P0047,"We propose a rigorous reformulation of relativistic dynamics, quantum electrodynamics (QED), and linearized quantum gravity based on the axiom of the non-existence of uniform rectilinear motion (κ=0). Assuming a minimum geodesic curvature lower bound for any worldline (κ≥κ0​>0), we show that the Abraham-Lorentz-Dirac (ALD) equation is regularized, eliminating runaway solutions. We derive the coherent states of the electromagnetic and gravitational fields generated by helical currents, characterized by orbital angular momentum (OAM) quanta. Finally, we compare the intrinsic gravitational decoherence rate with the Diósi-Penrose model and analyze the power ratio R=PEM​/Pgrav​ near the Reissner-Nordström event horizon.",,,gravitation,ASSUMPTION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0048,UMCH-SRC-P0048,1. Introduction and Kinematic Axiomatization,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0049,UMCH-SRC-P0049,"The classical principle of inertia assumes that in the absence of forces, a body persists in a state of uniform rectilinear motion, corresponding to the vanishing of the four-acceleration Aμ=0. In this work, we postulate that the worldline of any physical entity possessing energy-momentum is subject to an unavoidable minimum geodesic curvature κ0​>0.",,,geometry,ASSUMPTION,,UMCH-EQ-0026,FormigaRomero2006;Will2014,PASS_WITH_CONDITIONS,DUPLICATE_TRANSLATION,SUPPORTED_WITH_CONDITIONS,Repository foundational audit 2026-08-21,SPLIT_STANDARD_RESULT_FROM_HYPOTHESIS,English duplicate of UMCH-CLM-0008; only the inertial statement is standard.
UMCH-CLM-0050,UMCH-SRC-P0050,"In the 4D Frenet-Serret frame, the four-velocity Uμ and four-acceleration Aμ satisfy the constraint:",,,geometry,CONJECTURE,,UMCH-EQ-0027,FormigaRomero2006,PASS_WITH_CONDITIONS,DUPLICATE_TRANSLATION,SUPPORTED_WITH_CONDITIONS,Repository foundational audit 2026-08-21,RETAIN_AS_SETUP_ONLY,English duplicate of UMCH-CLM-0009.
UMCH-CLM-0051,UMCH-SRC-P0051,"dτDUμ​=Aμ=c2κ(τ)Nμ,κ(τ)≥κ0​>0",,,geometry,CONJECTURE,,UMCH-EQ-0028,FormigaRomero2006,PASS_WITH_NOTATION_CORRECTION,DUPLICATE_TRANSLATION,CORRECTABLE,Repository foundational audit 2026-08-21,SEPARATE_IDENTITY_AND_HYPOTHESIS,English duplicate of UMCH-CLM-0010.
UMCH-CLM-0052,UMCH-SRC-P0052,"where Nμ is the unit normal four-vector (NμNμ​=1) and UμUμ​=−c2. Since Uμ​Nμ=0, the energy-momentum norm PμPμ​=−m02​c2 remains strictly invariant.",,,unclassified,CONJECTURE,,UMCH-EQ-0029,FormigaRomero2006,PASS_WITH_CONDITIONS,DUPLICATE_TRANSLATION,SUPPORTED_WITH_CONDITIONS,Repository foundational audit 2026-08-21,RETAIN_WITH_ASSUMPTIONS,English duplicate of UMCH-CLM-0011.
UMCH-CLM-0053,UMCH-SRC-P0053,2. Abraham-Lorentz-Dirac Dynamics and Radiation Reaction,,,radiation-reaction,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0054,UMCH-SRC-P0054,The relativistic equation of motion for a charge q including radiation reaction (ALD) takes the form:,,,radiation-reaction,CONJECTURE,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0055,UMCH-SRC-P0055,m0​Aμ=Fextμ​+τ0​m0​(dτDAμ​−c2Aα​Aα​Uμ),,,unclassified,CONJECTURE,,UMCH-EQ-0030,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0056,UMCH-SRC-P0056,"where τ0​=6πϵ0​m0​c3q2​. Using the 4D Frenet-Serret relations to expand dτDAμ​=c2κ˙Nμ+c2κ2Uμ+c2κτ1​Bμ (where Bμ is the binormal four-vector and τ1​ is the geodesic torsion), the radiation self-force reduces to:",,,geometry,CONJECTURE,,UMCH-EQ-0031,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0057,UMCH-SRC-P0057,Fradμ​=τ0​m0​c2(κ˙Nμ+κτ1​Bμ),,,geometry,CONJECTURE,,UMCH-EQ-0032,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0058,UMCH-SRC-P0058,"Imposing the constant curvature constraint κ(τ)=κ0​, we obtain the regularized equation:",,,geometry,CONJECTURE,,UMCH-EQ-0033,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0059,UMCH-SRC-P0059,m0​c2κ0​Nμ=Fextμ​+τ0​m0​c2κ0​τ1​Bμ,,,geometry,CONJECTURE,,UMCH-EQ-0034,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0060,UMCH-SRC-P0060,The self-force acts exclusively along the binormal Bμ. This analytically suppresses unstable runaway solutions without violating orthogonality Uμ​Fradμ​=0.,,,radiation-reaction,CONJECTURE,,UMCH-EQ-0035,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0061,UMCH-SRC-P0061,3. Field Quantization and Torsional Coherent States,,,quantum-fields,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0062,UMCH-SRC-P0062,"A charge constrained to a trajectory with curvature κ0​ and torsion τ1​ excites the quantum vacuum, generating a Glauber coherent state for the EM field ∣ΨEM​⟩=D^[α]∣0⟩ and the graviton field ∣Ψgrav​⟩=D^[β]∣0G​⟩.",,,gravitation,CONJECTURE,,UMCH-EQ-0036,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0063,UMCH-SRC-P0063,3.1 Photon and Graviton Coherent States,,,gravitation,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0064,UMCH-SRC-P0064,"The coherence amplitudes α(k,λ) and β(k,σ) for spin-1 and spin-2 are given by:",,,unclassified,CONJECTURE,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0065,UMCH-SRC-P0065,"α(k,λ)=ℏ2ωk​ϵ0​​iq​ϵμ(λ)∗​∫dτUμ(τ)eik⋅x(τ)",,,unclassified,CONJECTURE,,UMCH-EQ-0037,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0066,UMCH-SRC-P0066,"β(k,σ)=2ℏ2ωk​​i16πG​m0​c​ϵμν(σ)∗​∫dτUμ(τ)Uν(τ)eik⋅x(τ)",,,unclassified,CONJECTURE,,UMCH-EQ-0038,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0067,UMCH-SRC-P0067,The expansion of the phase k⋅x(τ) contains a cubic term 61​c2κ0​τ1​(k⋅B0​)τ3 which converges into Airy-type integrals. The emitted quanta carry quantized Orbital Angular Momentum (OAM):,,,quantum-fields,CONJECTURE,,UMCH-EQ-0039,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0068,UMCH-SRC-P0068,"Lz(EM)​=ℏℓ,Jz(grav)​=(ℓ±2)ℏ,with ℓ≈⌊τ1​R⌋",,,unclassified,CONJECTURE,,UMCH-EQ-0040,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0069,UMCH-SRC-P0069,4. Intrinsic Gravitational Decoherence vs. Diósi-Penrose,,,gravitation,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0070,UMCH-SRC-P0070,Continuous emission of the coherent graviton state induces a loss of coherence in the particle's reduced density matrix ρAB​(τ)=ρAB​(0)e−Γκ0​​τ.,,,gravitation,CONJECTURE,,UMCH-EQ-0041,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0071,UMCH-SRC-P0071,"Γκ0​​≈ℏGm02​c3κ02​​(λeff​∣Δx∣​)2f(κ0​,τ1​)",,,geometry,CONJECTURE,,UMCH-EQ-0042,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0072,UMCH-SRC-P0072,Comparison with the Diósi-Penrose (DP) Model,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0073,UMCH-SRC-P0073,Key differences between the two models:,,,unclassified,CONJECTURE,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0074,UMCH-SRC-P0074,"DP Model: ΓDP​=ℏEG​​, where EG​ is the static Newtonian gravitational superposition energy. Requires an ad hoc cut-off R0​ to prevent ultraviolet divergences and predicts isotropic stochastic heating.",,,gravitation,CONJECTURE,,UMCH-EQ-0043,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0075,UMCH-SRC-P0075,"κ0​ Model: Decoherence is a dynamically open, relativistic effect driven by the minimum proper acceleration. It is inherently free of UV divergences due to the natural cutoff scale 1/κ0​, and can be kinematically modulated by adjusting the trap/system acceleration.",,,geometry,CONJECTURE,,UMCH-EQ-0044,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0076,UMCH-SRC-P0076,5. Coupling Ratio R=PEM​/Pgrav​ and Horizon Effects,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0077,UMCH-SRC-P0077,The ratio between emitted electromagnetic and gravitational power for a particle with charge q and mass m0​ moving at velocity v=βc is:,,,gravitation,CONJECTURE,,UMCH-EQ-0045,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0078,UMCH-SRC-P0078,R=Pgrav​PEM​​=12πϵ0​Gβ2c45​(m0​q​)2,,,unclassified,CONJECTURE,,UMCH-EQ-0046,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0079,UMCH-SRC-P0079,Proximity to the Reissner-Nordström Horizon,,,unclassified,CONCLUSION,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0080,UMCH-SRC-P0080,"Near the event horizon r+​, where the metric factor f(r)→0:",,,unclassified,CONJECTURE,,,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
UMCH-CLM-0081,UMCH-SRC-P0081,"Kinematic Limit: As β→1 for a local stationary observer (FIDO), the local ratio converges to Rhorizon​=12πϵ0​Gc45​(q/m0​)2.",,,unclassified,CONJECTURE,,UMCH-EQ-0047,,NOT_CHECKED,NONE_ASSIGNED,UNREVIEWED,,,Pending atomicity and scientific review.
